Motivo,Resumo do Motivo,Passageiro,Status do Passageiro,Tipo de Serviço,Trechos,Data da Viagem,Tarifa,Taxa de Embarque,Multa/Remarcação,Total,Classe,"Desconto Contratual 0,04%",Total com Desconto,Data do Cancelamento/Remarcação,"GRU / UPGRADE de
Classe",GRU / Diferença Tarifária,Valor do Reembolso,Custo Efetivo Senado Federal,Custo Efetivo SF,Data de volta,Sexo,Partido,UF
Comiss�o Permanente e XXXVI Assembleia Ordin�ria do Parlatino,Miss�o Oficial,Daniella Ribeiro,Senador(a),Internacional,BSB/PTY/GRU,10/02/2022,"R$11.196,39","R$349,11",,"R$11.545,50",,"R$4,48","R$11.541,02",,,,,R$,"R$11.541,02",12/02/2022,Feminino,PSD,PB
"Foro Parlamentario de Inteligencia y Seguridad, cidade da Guatemala",Miss�o Oficial,Daniella Ribeiro,Senador(a),Internacional,REC/GRU/PTY/GUA,04/03/2022,"R$5.858,91","R$117,07",,"R$5.975,98",,"R$2,34","R$5.973,64",,,,,R$,"R$5.973,64",05/03/2022,Feminino,PSD,PB
"Foro Parlamentario de Inteligencia y Seguridad, cidade da Guatemala",Miss�o Oficial,Daniella Ribeiro,Senador(a),Internacional,GUA/PTY/GRU/REC,07/03/2022,"R$4.795,06","R$784,78",,"R$5.579,84",,"R$1,92","R$5.577,92",,,,,R$,"R$5.577,92",08/03/2022,Feminino,PSD,PB
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Internacional,BSB/GRU/MAD/BCN,26/02/2022,"R$7.551,76","R$176,39",,"R$7.728,15",Econ�mica,"R$3,02","R$7.725,13",,,,,R$,"R$7.725,13",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Internacional,BCN/TLV,03/03/2022,"R$1.173,91","R$126,64",,"R$1.300,55",Econ�mica,"R$0,47","R$1.300,08",,,,,R$,"R$1.300,08",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Internacional,TLV/MAD/GRU,-,"R$3.167,20","R$1.596,26",,"R$4.763,46",Econ�mica,"R$1,27","R$4.762,19",,,,,R$,"R$4.762,19",07/03/2022,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Nacional,GRU/BSB,08/03/2022,"R$442,37","R$35,52",,"R$477,89",,"R$0,18","R$477,71",,,,,R$,"R$477,71",,Feminino,PODEMOS,MS
Segunda Asemblea Nacional del Movimiento de Regeneracion Nacional � MORENA,Miss�o Oficial,Humberto Costa,Senador(a),Internacional,MEX/PTY/GRU,04/03/2022,"R$1.499,39","R$400,88",,"R$1.900,27",Econ�mica,"R$0,60","R$1.899,67",,,,,R$,"R$1.899,67",,Masculino,PT,PE
Representante do Senado Federal em visita t�cnica nos Portos de Portugal,Miss�o Oficial,Wellington Fagundes,Senador(a),Nacional,CGB/GRU,05/03/2022,"R$2.069,90","R$38,95",,"R$2.108,85",,"R$0,83","R$2.108,02",,,,,R$,"R$2.108,02",05/03/2022,Masculino,PL,MT
Representante do Senado Federal em visita t�cnica nos Portos de Portugal,Miss�o Oficial,Wellington Fagundes,Senador(a),Internacional,GRU/OPO/LIS/BSB,05/03/2022,"R$17.484,86","R$246,39",,"R$17.731,25",,"R$6,99","R$17.724,26",,,"R$                  9.467,00",,R$,"R$8.257,26",14/03/2022,Masculino,PL,MT
