Motivo,Resumo do Motivo,Passageiro,Status do Passageiro,Tipo de Servi�o,Trechos,Data da Viagem,Unnamed: 7,Tarifa,Unnamed: 9,Tx.de Embarque,Unnamed: 11,Multa/Remarca��o,Unnamed: 13,Total,Unnamed: 15,Classe,Unnamed: 17,"***Desconto Contratual 0,04%",Unnamed: 19,Total com Desconto,Unnamed: 21,Data do Cancelamento/ Remarca��o,"GRU / UPGRADE de
Classe",Unnamed: 24,GRU / Diferen�a Tarif�ria,Unnamed: 26,Valor do Reembolso,Unnamed: 28,Custo Efetivo SF,Unnamed: 30,Unnamed: 31,Sexo,Partido,UF
Comiss�o Permanente e XXXVI Assembleia Ordin�ria do Parlatino,Miss�o Oficial,Daniella Ribeiro,Senador(a),Internacional,BSB/PTY/GRU,10/02/2022,12/02/2022, ,"11.196,39", ,"349,11",,, ,"11.545,50",,, ,"4,48", ,"11.541,02",,,,,,,, ,"11.541,02",,Feminino,PSD,PB
Comiss�o Permanente e XXXVI Assembleia Ordin�ria do Parlatino,Miss�o Oficial,Daniella Ribeiro,Senador(a),Seguro Viagem,BSB/PTY/GRU,10/02/2022,12/02/2022, ,"214,54", ,-,,, ,"214,54",,, ,-, ,"214,54",,,,,,,, ,"214,54",,Feminino,PSD,PB
"Foro Parlamentario de Inteligencia y Seguridad, cidade da Guatemala",Miss�o Oficial,Daniella Ribeiro,Senador(a),Internacional,REC/GRU/PTY/GUA,04/03/2022,05/03/2022, ,"5.858,91", ,"117,07",,, ,"5.975,98",,, ,"2,34", ,"5.973,64",,,,,,,, ,"5.973,64",,Feminino,PSD,PB
"Foro Parlamentario de Inteligencia y Seguridad, cidade da Guatemala",Miss�o Oficial,Daniella Ribeiro,Senador(a),Internacional,GUA/PTY/GRU/REC,07/03/2022,08/03/2022, ,"4.795,06", ,"784,78",,, ,"5.579,84",,, ,"1,92", ,"5.577,92",,,,,,,, ,"5.577,92",,Feminino,PSD,PB
"Foro Parlamentario de Inteligencia y Seguridad, cidade da Guatemala",Miss�o Oficial,Daniella Ribeiro,Senador(a),Seguro Viagem,AMERICA CENTRAL,04/03/2022,08/03/2022, ,"240,99", ,-,,, ,"240,99",,, ,-, ,"240,99",,,,,,,, ,"240,99",,Feminino,PSD,PB
Miss�o internacional � sede da HDT Bio Corp e � Universidade de Washington,Miss�o Oficial,Jaques Wagner,Senador(a),Seguro Viagem,EUA,12/02/2022,22/02/2022, ,"978,36", ,-,,, ,"978,36",,, ,-, ,"978,36",,,,,,,, ,"978,36",,Masculino,PT,BA
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Seguro Viagem,EUROPA,26/02/2022,08/03/2022, ,"694,32", ,-,,, ,"694,32",,, ,-, ,"694,32",,,,,,,, ,"694,32",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Seguro Viagem,EUROPA,26/02/2022,08/03/2022, ,"192,45", ,-,,, ,"192,45",,, ,-, ,"192,45",,,,,,,, ,"192,45",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Internacional,BSB/GRU/MAD/BCN,26/02/2022,, ,"7.551,76", ,"176,39",,, ,"7.728,15",Econ�mica,, ,"3,02", ,"7.725,13",,,,,,,, ,"7.725,13",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Internacional,BCN/TLV,03/03/2022,, ,"1.173,91", ,"126,64",,, ,"1.300,55",Econ�mica,, ,"0,47", ,"1.300,08",,,,,,,, ,"1.300,08",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Internacional,TLV/MAD/GRU,-,07/03/2022, ,"3.167,20", ,"1.596,26",,, ,"4.763,46",Econ�mica,, ,"1,27", ,"4.762,19",,,,,,,, ,"4.762,19",,Feminino,PODEMOS,MS
GSMA MobileWord Congress-2023 e Ecossistema Inovador de Israel,Miss�o Oficial,Soraya Thronicke,Senador(a),Nacional,GRU/BSB,08/03/2022,, ,"442,37", ,"35,52",,, ,"477,89",,, ,"0,18", ,"477,71",,,,,,,, ,"477,71",,Feminino,PODEMOS,MS
